z_m,r_m,uz_m_s,ur_m_s,speed_m_s,p_gauge_pa,vorticity_s_1,lower_envelope,lower_gas,upper_envelope,upper_gas
-0.021457030067792267,0,0.017201760256529936,0,0.017201760256529936,-0.053842619535828362,0.12684947670208357,0,0,0,0
-0.021457030067792267,2.0000000000000002e-05,0.017201467967656904,-0.00018723659296889593,0.01720248696508947,-0.053879513938483115,0.1287439151803888,0,0,0,0
-0.021457030067792267,4.0000000000000003e-05,0.017188996975740781,-0.00038350110129664708,0.017193274560906701,-0.055453675117689727,0.20957329025474422,0,0,0,0
-0.021457030067792267,6.0000000000000008e-05,0.017175011500760017,-0.00057936291715956904,0.017184780517685367,-0.056861946299136434,0.28580131732228675,0,0,0,0
-0.021457030067792267,8.0000000000000007e-05,0.017133190334282539,-0.00076825731479859198,0.017150406127333959,-0.054961108013117155,0.31491638356871077,0,0,0,0
-0.021457030067792267,9.9999999999999991e-05,0.017098757948126327,-0.00096095096021696933,0.017125739403498909,-0.055222856835769107,0.33159003970197476,0,0,0,0
-0.021457030067792267,0.00012000000000000002,0.017064146513881048,-0.0011519532815733996,0.01710298490352273,-0.055901188490622644,0.34458864780433396,0,0,0,0
-0.021457030067792267,0.00014000000000000001,0.017028440896869227,-0.0013326197336623728,0.017080505693120297,-0.059125304120186684,0.33512862905116358,0,0,0,0
-0.021457030067792267,0.00016000000000000001,0.016993498238558516,-0.0015047381956882528,0.0170599888458772,-0.064387515277132934,0.3021494709904245,0,0,0,0
-0.021457030067792267,0.00018000000000000001,0.016944848711188492,-0.0016883444033115491,0.017028752293378975,-0.066942964735005717,0.31549421099029051,0,0,0,0
-0.021457030067792267,0.00019999999999999998,0.016896199183818468,-0.0018719506109348453,0.016999580758037744,-0.069498414192935343,0.32883895099015648,0,0,0,0
-0.021457030067792267,0.00022000000000000001,0.016847549656448444,-0.0020555568185581423,0.016972484887629653,-0.072053863650864969,0.34218369099002249,0,0,0,0
-0.021457030067792267,0.00024000000000000003,0.016786643703138548,-0.0022336279550504512,0.016934594788707048,-0.075122660062731939,0.35112468016436116,0,0,0,0
-0.021457030067792267,0.00025999999999999998,0.016694415772426759,-0.0023975539097635685,0.016865698406317894,-0.079503343134831539,0.34881163945124116,0,0,0,0
-0.021457030067792267,0.00028000000000000003,0.016602187841714969,-0.0025614798644766875,0.016798625545791177,-0.083884026206931139,0.34649859873812122,0,0,0,0
-0.021457030067792267,0.00029999999999999997,0.016509959911003177,-0.0027254058191898052,0.016733398134933793,-0.08826470927903074,0.34418555802500128,0,0,0,0
-0.021457030067792267,0.00032000000000000003,0.016417731980291388,-0.0028893317739029237,0.016670037836680744,-0.092645392351101918,0.34187251731188129,0,0,0,0
-0.021457030067792267,0.00034000000000000002,0.016325504049579598,-0.0030532577286160418,0.016608566019683742,-0.097026075423201519,0.3395594765987614,0,0,0,0
-0.021457030067792267,0.00036000000000000002,0.016233276118867809,-0.0032171836833291604,0.016549003728432817,-0.1014067584952727,0.3372464358856414,0,0,0,0
-0.021457030067792267,0.00038000000000000002,0.016141048188156017,-0.0033811096380422785,0.016491371652983783,-0.1057874415673723,0.33493339517252146,0,0,0,0
