t,i,dt,cells,lower_center,upper_center,lower_u,upper_u,closing_speed,moment_gap,plic_gap,plic_valid,lower_samples,upper_samples,anchor_active,released_this_step,anchor_acceleration,anchor_feedforward,effective_mass,support_volume,buoyancy_force,reaction_force,reaction_power,constraint_work,release_time,release_gap,saturation_count,lower_gas_drift,lower_oil_drift,upper_gas_drift,upper_oil_drift,nesting_volume,envelope_overlap_volume,gas_overlap_volume,overfill_volume,maximum_speed,umax_x,umax_y,umax_water_fraction,umax_oil_fraction,umax_gas_fraction,lower_outer_interface_velocity_rms,lower_outer_interface_velocity_max,lower_gas_interface_velocity_rms,lower_gas_interface_velocity_max,upper_outer_interface_velocity_rms,upper_outer_interface_velocity_max,upper_gas_interface_velocity_rms,upper_gas_interface_velocity_max,projected_volume_change,pressure_iterations,scaled_pressure_residual,viscosity_iterations,viscosity_residual,momentum_transport_mode,invalid_cells,invalid_faces,transport_failed,max_cell_partition_defect,max_face_partition_defect,max_vof_bound_defect,max_partition_correction,nested_plic_fallbacks,nested_plic_fallbacks_max,transport_cpu_seconds,lower_aspect,upper_aspect,kinetic_energy,surface_energy,pressure_integral,film_mean_pressure,film_max_pressure,film_support_volume,lower_contact_delta,upper_contact_delta,film_cells,film_distribution_valid_bins,film_distribution_total_bins,film_valid_area_fraction,film_nonpositive_gap_bins,film_min_gap,film_min_cells,film_p10_cells,film_median_cells,film_resolved_area_fraction
0.00010999999999993716,456,2.499999999999993e-07,27550,-0.019488700058635143,-0.016089076483046052,0.10056306509670376,0.005617443868032031,0.09494562122867171,0.0007810634524204302,0.0007917575867285413,1,124,120,1,0,-65.92808790664006,-40.89959047597277,1.9244721764806715e-06,9.965484968078329e-09,7.870762749604753e-05,-0.00012687677082490062,-7.127918562371127e-07,-8.048516960549054e-11,,,0,1.5869853744912871e-09,4.139781411015348e-09,2.147887458298849e-05,5.196058595626112e-05,0.0,0.0,0,0,0.20200302526188066,-0.01958984375,1.953125e-05,0,0,1,0.06009125192157035,0.10440521103453032,0.06978893004900608,0.13077397463101306,0.008295747220494146,0.03980612167054223,0.008163075667229,0.03537152218501227,2.4082032307029224e-08,4,3.1039257465125557e-12,10,5.281315639316976e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015590000000000001,1.0312448943243888,1.0099513369230086,3.085123640424594e-08,2.5415484081459967e-06,-0.15707752196882266,183.24152828935243,212.14728212027626,5.921749662349374e-10,1.953125e-05,3.90625e-05,20.268994220250658,32,32,1,0,0.0007931313584781213,24.02787939570379,40.73393735668667,44.12601104160636,1.0
0.0001199999999999374,496,2.499999999999993e-07,27556,-0.019487694270665854,-0.016089019383909574,0.10063021880433012,0.005580608664524047,0.09504961013980608,0.0007802028816097351,0.0007907359737550877,1,122,118,1,0,-66.00458447806953,-40.89959047597277,1.9244820890610453e-06,9.965490564212848e-09,7.870762749604753e-05,-0.00012702464062396153,-7.089396643755305e-07,-8.759328718267065e-11,,,0,1.613300035868801e-09,4.1589275101107455e-09,2.1478905553303824e-05,5.477053041382149e-05,0.0,0.0,0,0,0.2021288981189084,-0.01958984375,1.953125e-05,0,0,1,0.06013552550368791,0.1044319046062062,0.06983568998552543,0.13071103298501388,0.008288802221918438,0.042882890234980604,0.008166935100097887,0.03554152679952825,1.5397441814975914e-08,4,3.105580466553857e-12,10,5.792642279132373e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015662,1.0312965878999318,1.0100350418847253,3.090195303703144e-08,2.5415825968079355e-06,-0.15707824288361308,183.14828619414467,209.40256091920597,5.767408235702842e-10,1.953125e-05,3.90625e-05,20.242840928130246,32,32,1,0,0.0007920674921034522,24.007637095633694,40.682182927330324,44.08914414894429,1.0
0.00012999999999993765,536,2.499999999999993e-07,27559,-0.019486687803752758,-0.016088963682676368,0.10069733002489872,0.005544385108584137,0.09515294491631457,0.0007793732409070624,0.0007897092782480423,1,122,118,1,0,-66.08276189291976,-40.89959047597277,1.924483664161559e-06,9.965490559199178e-09,7.870762749604753e-05,-0.00012717519574560206,-7.05191395062557e-07,-9.466324127690444e-11,,,0,2.2384299180362287e-09,4.192236744289413e-09,2.1479529902827576e-05,5.4770512759076754e-05,0.0,0.0,0,0,0.20229606678550804,-0.01958984375,1.953125e-05,0,0,1,0.0601788134410775,0.104409401544596,0.0698873207713033,0.13064583141966904,0.00828257945651735,0.048302014394857526,0.00817048588445503,0.037213997247321516,1.5445260718565254e-08,4,6.626637968562056e-12,10,4.910534983205637e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015474000000000002,1.0313476259337633,1.0101102496092935,3.095299785578048e-08,2.5415634135478182e-06,-0.15707887838266973,183.33440056547383,206.54920617746038,5.767408235702844e-10,1.953125e-05,3.90625e-05,20.21655752314988,32,32,1,0,0.0007909613925326068,23.987370090193053,40.63020756381093,44.052567873082715,1.0
0.0001399999999999379,576,2.499999999999993e-07,27580,-0.019485680655371585,-0.016088908552447982,0.100765326227778,0.0055070514475129536,0.09525827478026504,0.0007785318441487652,0.0007886787883765941,1,120,118,1,0,-66.1537454632603,-40.89959047597277,1.924483455300796e-06,9.965489213235895e-09,7.870762749604753e-05,-0.00012731178865022449,-7.0117329966719e-07,-1.0169425890884928e-10,,,0,2.453873315381429e-09,4.241537258036823e-09,2.147959214885636e-05,5.409495349243266e-05,0.0,0.0,0,0,0.2023865195408616,-0.01958984375,1.953125e-05,0,0,1,0.06022543144420385,0.10436953388365368,0.06993544090525672,0.1305644390757761,0.008274505463523294,0.053054291992353605,0.008173487424016797,0.03878115421017962,3.720896263701725e-08,4,3.4369796197134777e-12,10,4.569283579209868e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015590000000000001,1.0313984199071924,1.0101892276185764,3.1003958816528046e-08,2.5418145559444963e-06,-0.15708031574094491,183.19558637527012,203.30207797444598,5.767408235702842e-10,1.953125e-05,3.90625e-05,20.190176982440807,32,32,1,0,0.0007897929074153071,23.967078315528674,40.57806980543255,44.01628888236164,1.0
0.0001499999999999381,616,2.499999999999993e-07,27613,-0.019484672830023114,-0.016088853595878406,0.10083255315602307,0.005468724446346182,0.0953638287096769,0.0007776686717852667,0.0007876120467953905,1,122,118,1,0,-66.22065356518284,-40.89959047597277,1.924484759521524e-06,9.965489213011687e-09,7.870762749604753e-05,-0.00012744063855174906,-6.970206117013803e-07,-1.0868489817222052e-10,,,0,2.281190947971581e-09,4.261953431945397e-09,2.14796204757767e-05,5.409495432786408e-05,0.0,0.0,0,0,0.2025185935436592,-0.01955078125,1.953125e-05,0,0,1,0.060271396570645966,0.10432059390631616,0.06998517020698986,0.13047186182272594,0.008264637974225473,0.0570902703695987,0.008174937443553795,0.04010941629418048,2.609801880527021e-08,4,6.9475696064327666e-12,10,4.6559141767116546e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015762,1.031449286124058,1.0102761947652454,3.1054401221538596e-08,2.541784986875701e-06,-0.15708103939959178,183.24029423567882,200.0910482926629,5.767408235702842e-10,1.953125e-05,3.90625e-05,20.162868397962,32,32,1,0,0.000788585616240199,23.94676310657271,40.525818168960726,43.9803061038237,1.0
0.00015999999999993838,656,2.499999999999993e-07,27649,-0.01948366433320549,-0.01608879900620831,0.10089963992600397,0.005431355985451526,0.09546828394055244,0.0007768281581172509,0.0007865122475176484,1,124,118,1,0,-66.2880847308443,-40.89959047597277,1.924485888144912e-06,9.965489151841838e-09,7.870762749604753e-05,-0.00012757048361666408,-6.929285794924395e-07,-1.1563423856586515e-10,,,0,2.2339810711418358e-09,4.2915313389720496e-09,2.147957514780783e-05,5.4064059453872966e-05,0.0,0.0,0,0,0.20264817675673694,-0.01958984375,1.953125e-05,0,0,1,0.06031681214113501,0.10426305189412843,0.07003571565834911,0.1303754649849976,0.00825295759767035,0.06039623094598875,0.008173878687027954,0.04117898854122305,1.7514172674537535e-08,4,3.694776571294804e-12,10,9.469035945913794e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015288,1.0315003133974512,1.0103546204899678,3.110534426719268e-08,2.541672331160927e-06,-0.15708172210325275,183.28882552883633,196.88717173173904,5.767408235702842e-10,1.953125e-05,3.90625e-05,20.134713536451798,32,32,1,0,0.000787348566388301,23.926432979837827,40.473483242992174,43.94461005038455,1.0
0.00016999999999993862,696,2.499999999999993e-07,27649,-0.019482655162916654,-0.016088745245937466,0.10096627603840716,0.005393856624523333,0.09557241941388384,0.0007759883026588405,0.0007854106302956839,1,124,122,1,0,-66.35459044028474,-40.89959047597277,1.924484312667886e-06,9.965486519540808e-09,7.870762749604753e-05,-0.00012769836837583047,-6.888345599240161e-07,-1.2254274002672298e-10,,,0,2.336290613565993e-09,4.344364221494257e-09,2.1489430833901348e-05,5.278183976304118e-05,0.0,0.0,0,0,0.2027889238843027,-0.01955078125,1.953125e-05,0,0,1,0.06036428605207433,0.10420036840121044,0.07008448432561852,0.13052176645814406,0.008238394749193715,0.0629779701106295,0.008170556921824803,0.04197112925202754,1.933948387543809e-08,4,8.856067765886969e-12,11,4.741277046104754e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015326,1.0315508911808633,1.0104341971431268,3.115585851802924e-08,2.541671998714096e-06,-0.15708236568411135,183.3350736982407,193.58209373168617,5.767396679942912e-10,1.953125e-05,1.953125e-05,40.21302427113903,32,32,1,0,0.0007860884003968138,40.24772610031687,40.87618779480647,44.31739064394122,1.0
0.00017999999999993886,736,2.499999999999993e-07,27676,-0.01948164533113301,-0.016088691422422252,0.10103249241429743,0.005356083116098878,0.09567640929819857,0.0007751243243731411,0.0007842775317371263,1,124,122,1,0,-66.41843465238661,-40.89959047597277,1.9244856386579787e-06,9.965486520132744e-09,7.870762749604753e-05,-0.00012782132363066146,-6.84667517448618e-07,-1.2941005711729005e-10,,,0,2.2456432676706855e-09,4.383291028302036e-09,2.1489353698054505e-05,5.27818281434215e-05,0.0,0.0,0,0,0.2029048730885892,-0.01955078125,1.953125e-05,0,0,1,0.060405388705123166,0.10413452087482307,0.0701333906442045,0.13073387276554593,0.008220305715396788,0.06486119335220726,0.008160491655600467,0.042484097256963525,1.5182505247021564e-08,4,3.3508921098530015e-12,10,9.938653240207287e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015674,1.0316018801030185,1.010520556540096,3.120625671778454e-08,2.5417382474168547e-06,-0.15708305546510046,183.33829878971713,190.3541036257688,5.767354022200507e-10,1.953125e-05,1.953125e-05,40.15500962494088,32,32,1,0,0.0007848159153969643,40.18257486832457,40.836364553510045,44.281258503939114,1.0
0.0001899999999999391,776,2.499999999999993e-07,27685,-0.01948063484098807,-0.016088637982712588,0.10109828574471867,0.005318075678763488,0.0957802100659552,0.000774281063029212,0.0007830930812714674,1,122,120,1,0,-66.48040517453383,-40.89959047597277,1.924487002496571e-06,9.965486520217323e-09,7.870762749604753e-05,-0.00012794067567909614,-6.804605840092108e-07,-1.3623538007604073e-10,,,0,2.2237487232847296e-09,4.42997571105762e-09,2.1489341899147567e-05,5.278182337089228e-05,0.0,0.0,0,0,0.2030565216602944,-0.01955078125,1.953125e-05,0,0,1,0.06045374407304065,0.10406868022980507,0.07017541932010139,0.13099990204023687,0.008198015508111316,0.06608577632321469,0.008145172352672418,0.04272149850866053,2.3364428552103137e-08,4,3.503218497230344e-12,10,7.756829953293411e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015717,1.0316522006671385,1.0105999639971122,3.1256156453790724e-08,2.5417214253803024e-06,-0.15708319311644312,183.327595646167,189.59310749063462,5.767295025160553e-10,1.953125e-05,1.953125e-05,40.094365761099134,32,32,1,0,0.0007835250116112258,40.116480594494774,40.796274024840606,44.24536156158272,1.0
0.00019999999999993932,816,2.499999999999993e-07,27733,-0.019479623699074786,-0.01608858492513283,0.10116481587223347,0.005279841107202504,0.09588497476503098,0.0007734315915063975,0.0007819062518926029,1,120,120,1,0,-66.53919422718236,-40.89959047597277,1.92448831477028e-06,9.96548652043514e-09,7.870762749604753e-05,-0.00012805390176444254,-6.761594222398722e-07,-1.4301783830301952e-10,,,0,2.2109471931463947e-09,4.443160348259839e-09,2.1489314475765826e-05,5.2781822943104885e-05,0.0,0.0,0,0,0.20320922614897388,-0.01955078125,1.953125e-05,0,0,1,0.060500483856375416,0.1042172341493877,0.07022412500535499,0.1312652894270974,0.008170758851043854,0.06668927648866164,0.008125549360742902,0.042686118038983055,4.383716405613934e-09,6,2.8682519450810965e-12,10,7.227634156525309e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015772,1.03170211480353,1.0106817909477932,3.1305890267773896e-08,2.541584947724618e-06,-0.1570839563231072,183.3750447717303,189.5220492464518,5.767232074593673e-10,1.953125e-05,1.953125e-05,40.033600096901274,32,32,1,0,0.000782205447469441,40.048918910435376,40.75590443795125,44.209679127516736,1.0
