-0.0172327 0
-0.0172327 1.95313e-05

-0.0172327 1.95312e-05
-0.0172327 3.90625e-05

-0.0172327 3.90625e-05
-0.0172327 5.85938e-05

-0.0172327 5.85938e-05
-0.0172327 7.8125e-05

-0.0172327 7.8125e-05
-0.0172328 9.76562e-05

-0.0172328 9.76563e-05
-0.0172328 0.000117187

-0.0172328 0.000117188
-0.0172328 0.000136719

-0.0172328 0.000136719
-0.0172329 0.00015625

-0.0172329 0.00015625
-0.0172329 0.000175781

-0.0172329 0.000175781
-0.017233 0.000195313

-0.017233 0.000195312
-0.017233 0.000214844

-0.017233 0.000214844
-0.017233 0.000234375

-0.017233 0.000234375
-0.017233 0.000253906

-0.017233 0.000253906
-0.0172329 0.000273438

-0.0172329 0.000273437
-0.0172327 0.000292969

-0.0172327 0.000292969
-0.0172324 0.0003125

-0.0172324 0.0003125
-0.017232 0.000332031

-0.017232 0.000332031
-0.0172314 0.000351563

-0.0172314 0.000351562
-0.0172307 0.000371094

-0.0172307 0.000371094
-0.0172297 0.000390625

-0.0172297 0.000390625
-0.0172285 0.000410156

-0.0172285 0.000410156
-0.0172271 0.000429688

-0.0172271 0.000429688
-0.0172266 0.000435198

-0.0172266 0.000435031
-0.0172253 0.000449219

-0.0172253 0.000449219
-0.0172231 0.00046875

-0.0172231 0.00046875
-0.0172206 0.000488281

-0.0172206 0.000488281
-0.0172176 0.000507813

-0.0172176 0.000507813
-0.0172143 0.000527344

-0.0172143 0.000527344
-0.0172104 0.000546875

-0.0172105 0.000546875
-0.017207 0.000562501

-0.017207 0.000562437
-0.0172062 0.000566406

-0.0172062 0.000566406
-0.0172014 0.000585937

-0.0172014 0.000585937
-0.0171962 0.000605469

-0.0171962 0.000605469
-0.0171905 0.000625

-0.0171906 0.000625
-0.0171875 0.00063464

-0.0171875 0.000634457
-0.0171843 0.000644531

-0.0171843 0.000644531
-0.0171776 0.000664063

-0.0171776 0.000664063
-0.0171704 0.000683594

-0.0171705 0.000683594
-0.017168 0.000689854

-0.017168 0.000689598
-0.0171626 0.000703125

-0.0171626 0.000703125
-0.0171543 0.000722656

-0.0171544 0.000722656
-0.0171484 0.000735726

-0.0171484 0.000735594
-0.0171455 0.000742188

-0.0171455 0.000742188
-0.0171361 0.000761719

-0.0171361 0.000761719
-0.0171289 0.000775812

-0.0171289 0.000775692
-0.0171261 0.00078125

